sc67b3p120

NE black even
0, 213, 233, 87, (433) {total: 966} {consumed: 8} glider(d32)(ph2)(♗⬀⓪)
0, 218, 109, 142, (67) {total: 536} {consumed: 4} glider(d8)(ph2)(♗⬀⓪)
0, 218, 251, 38, (67) {total: 574} {consumed: 4} glider(d32)(ph0)(♗⬀⓪)
0, 221, 233, 87, (433) {total: 974} {consumed: 8} glider(d34)(ph2)(♗⬀⓪)
0, 226, 109, 142, (67) {total: 544} {consumed: 4} glider(d10)(ph2)(♗⬀⓪)
0, 226, 251, 38, (67) {total: 582} {consumed: 4} glider(d34)(ph0)(♗⬀⓪)
0, 229, 233, 87, (433) {total: 982} {consumed: 8} glider(d36)(ph2)(♗⬀⓪)
0, 234, 109, 142, (67) {total: 552} {consumed: 4} glider(d12)(ph2)(♗⬀⓪)
0, 234, 251, 38, (67) {total: 590} {consumed: 4} glider(d36)(ph0)(♗⬀⓪)
0, 237, 233, 87, (433) {total: 990} {consumed: 8} glider(d38)(ph2)(♗⬀⓪)
0, 242, 109, 142, (67) {total: 560} {consumed: 4} glider(d14)(ph2)(♗⬀⓪)
0, 242, 251, 38, (67) {total: 598} {consumed: 4} glider(d38)(ph0)(♗⬀⓪)
0, 245, 233, 87, (433) {total: 998} {consumed: 8} glider(d40)(ph2)(♗⬀⓪)
0, 250, 109, 142, (67) {total: 568} {consumed: 4} glider(d16)(ph2)(♗⬀⓪)
0, 250, 251, 38, (67) {total: 606} {consumed: 4} glider(d40)(ph0)(♗⬀⓪)
0, 253, 233, 87, (433) {total: 1006} {consumed: 8} glider(d42)(ph2)(♗⬀⓪)
1, 101, 65, 99, (398) {total: 663} {consumed: 7} glider(d-6)(ph0)(♗⬀⓪)
1, 101, 65, 131, (633) {total: 930} {consumed: 9} glider(d-6)(ph0)(♗⬀⓪)
1, 103, 39, 37, (89) {total: 268} {consumed: 2} glider(d-12)(ph2)(♗⬀⓪)
1, 103, 71, 47, (364) {total: 585} {consumed: 5} glider(d-6)(ph0)(♗⬀⓪)
1, 105, 39, 80, (67) {total: 291} {consumed: 3} glider(d-16)(ph2)(♗⬀⓪)
1, 107, 245, 230, (226) {total: 808} {consumed: 8} glider(d8)(ph0)(♗⬀⓪)
1, 107, 245, 62, (114) {total: 528} {consumed: 5} glider(d8)(ph0)(♗⬀⓪)
1, 107, 245, 146, (201) {total: 699} {consumed: 6} glider(d8)(ph0)(♗⬀⓪)
1, 107, 253, 45, (112) {total: 517} {consumed: 5} glider(d4)(ph2)(♗⬀⓪)
1, 108, 91, 76, (67) {total: 342} {consumed: 3} glider(d6)(ph0)(♗⬀⓪)
1, 108, 106, 202, (127) {total: 543} {consumed: 5} glider(d-16)(ph0)(♗⬀⓪)
1, 108, 106, 35, (67) {total: 316} {consumed: 3} glider(d-16)(ph0)(♗⬀⓪)
1, 108, 197, 66, (160) {total: 531} {consumed: 5} glider(d-22)(ph2)(♗⬀⓪)
1, 108, 249, 56, (76) {total: 489} {consumed: 5} glider(d-6)(ph2)(♗⬀⓪)
1, 111, 150, 131, (216) {total: 608} {consumed: 6} glider(d6)(ph0)(♗⬀⓪)
1, 114, 130, 155, (126) {total: 525} {consumed: 5} glider(d10)(ph2)(♗⬀⓪)
1, 116, 190, 177, (133) {total: 616} {consumed: 5} glider(d8)(ph2)(♗⬀⓪)
1, 126, 125, 109, (67) {total: 427} {consumed: 5} glider(d-34)(ph0)(♗⬀⓪)
1, 128, 108, 106, (67) {total: 409} {consumed: 5} glider(d-44)(ph0)(♗⬀⓪)
1, 129, 109, 142, (67) {total: 447} {consumed: 5} glider(d-44)(ph2)(♗⬀⓪)
1, 129, 251, 38, (67) {total: 485} {consumed: 5} glider(d-20)(ph0)(♗⬀⓪)
1, 132, 233, 87, (433) {total: 885} {consumed: 9} glider(d-18)(ph2)(♗⬀⓪)
1, 134, 125, 109, (67) {total: 435} {consumed: 5} glider(d-32)(ph0)(♗⬀⓪)
1, 136, 108, 106, (67) {total: 417} {consumed: 5} glider(d-42)(ph0)(♗⬀⓪)
1, 137, 109, 142, (67) {total: 455} {consumed: 5} glider(d-42)(ph2)(♗⬀⓪)
1, 137, 251, 38, (67) {total: 493} {consumed: 5} glider(d-18)(ph0)(♗⬀⓪)
1, 140, 233, 87, (433) {total: 893} {consumed: 9} glider(d-16)(ph2)(♗⬀⓪)
1, 142, 125, 109, (67) {total: 443} {consumed: 5} glider(d-30)(ph0)(♗⬀⓪)
1, 144, 108, 106, (67) {total: 425} {consumed: 5} glider(d-40)(ph0)(♗⬀⓪)
1, 145, 109, 142, (67) {total: 463} {consumed: 5} glider(d-40)(ph2)(♗⬀⓪)
1, 148, 233, 87, (433) {total: 901} {consumed: 9} glider(d-14)(ph2)(♗⬀⓪)
1, 150, 125, 109, (67) {total: 451} {consumed: 5} glider(d-28)(ph0)(♗⬀⓪)
1, 152, 108, 106, (67) {total: 433} {consumed: 5} glider(d-38)(ph0)(♗⬀⓪)
1, 153, 109, 142, (67) {total: 471} {consumed: 5} glider(d-38)(ph2)(♗⬀⓪)
1, 153, 251, 38, (67) {total: 509} {consumed: 5} glider(d-14)(ph0)(♗⬀⓪)
1, 156, 233, 87, (433) {total: 909} {consumed: 9} glider(d-12)(ph2)(♗⬀⓪)
1, 158, 125, 109, (67) {total: 459} {consumed: 5} glider(d-26)(ph0)(♗⬀⓪)
1, 160, 108, 106, (67) {total: 441} {consumed: 5} glider(d-36)(ph0)(♗⬀⓪)
1, 161, 109, 142, (67) {total: 479} {consumed: 5} glider(d-36)(ph2)(♗⬀⓪)
1, 161, 251, 38, (67) {total: 517} {consumed: 5} glider(d-12)(ph0)(♗⬀⓪)
1, 164, 233, 87, (433) {total: 917} {consumed: 9} glider(d-10)(ph2)(♗⬀⓪)
1, 166, 125, 109, (67) {total: 467} {consumed: 5} glider(d-24)(ph0)(♗⬀⓪)
1, 169, 109, 142, (67) {total: 487} {consumed: 5} glider(d-34)(ph2)(♗⬀⓪)
1, 169, 251, 38, (67) {total: 525} {consumed: 5} glider(d-10)(ph0)(♗⬀⓪)
1, 172, 233, 87, (433) {total: 925} {consumed: 9} glider(d-8)(ph2)(♗⬀⓪)
1, 174, 125, 109, (67) {total: 475} {consumed: 5} glider(d-22)(ph0)(♗⬀⓪)
1, 177, 109, 142, (67) {total: 495} {consumed: 5} glider(d-32)(ph2)(♗⬀⓪)
1, 177, 251, 38, (67) {total: 533} {consumed: 5} glider(d-8)(ph0)(♗⬀⓪)
1, 180, 233, 87, (433) {total: 933} {consumed: 9} glider(d-6)(ph2)(♗⬀⓪)
1, 185, 109, 142, (67) {total: 503} {consumed: 5} glider(d-30)(ph2)(♗⬀⓪)
1, 188, 233, 87, (433) {total: 941} {consumed: 9} glider(d-4)(ph2)(♗⬀⓪)
1, 193, 109, 142, (67) {total: 511} {consumed: 5} glider(d-28)(ph2)(♗⬀⓪)
1, 193, 251, 38, (67) {total: 549} {consumed: 5} glider(d-4)(ph0)(♗⬀⓪)
1, 196, 233, 87, (433) {total: 949} {consumed: 9} glider(d-2)(ph2)(♗⬀⓪)
1, 201, 109, 142, (67) {total: 519} {consumed: 5} glider(d-26)(ph2)(♗⬀⓪)
1, 201, 251, 38, (67) {total: 557} {consumed: 5} glider(d-2)(ph0)(♗⬀⓪)
1, 204, 233, 87, (433) {total: 957} {consumed: 9} glider(d0)(ph2)(♗⬀⓪)
1, 209, 109, 142, (67) {total: 527} {consumed: 5} glider(d-24)(ph2)(♗⬀⓪)
1, 209, 251, 38, (67) {total: 565} {consumed: 5} glider(d0)(ph0)(♗⬀⓪)
1, 212, 233, 87, (433) {total: 965} {consumed: 9} glider(d2)(ph2)(♗⬀⓪)
1, 217, 251, 38, (67) {total: 573} {consumed: 5} glider(d2)(ph0)(♗⬀⓪)
1, 220, 233, 87, (433) {total: 973} {consumed: 9} glider(d4)(ph2)(♗⬀⓪)
1, 225, 109, 142, (67) {total: 543} {consumed: 5} glider(d-20)(ph2)(♗⬀⓪)
1, 225, 251, 38, (67) {total: 581} {consumed: 5} glider(d4)(ph0)(♗⬀⓪)
1, 228, 233, 87, (433) {total: 981} {consumed: 9} glider(d6)(ph2)(♗⬀⓪)
1, 233, 109, 142, (67) {total: 551} {consumed: 5} glider(d-18)(ph2)(♗⬀⓪)
1, 233, 251, 38, (67) {total: 589} {consumed: 5} glider(d6)(ph0)(♗⬀⓪)
1, 236, 233, 87, (433) {total: 989} {consumed: 9} glider(d8)(ph2)(♗⬀⓪)
1, 241, 109, 142, (67) {total: 559} {consumed: 5} glider(d-16)(ph2)(♗⬀⓪)
1, 244, 233, 87, (433) {total: 997} {consumed: 9} glider(d10)(ph2)(♗⬀⓪)
1, 249, 109, 142, (67) {total: 567} {consumed: 5} glider(d-14)(ph2)(♗⬀⓪)
1, 249, 251, 38, (67) {total: 605} {consumed: 5} glider(d10)(ph0)(♗⬀⓪)
1, 252, 233, 87, (433) {total: 1005} {consumed: 9} glider(d12)(ph2)(♗⬀⓪)
2, 35, 229, 111, (349) {total: 724} {consumed: 7} glider(d-20)(ph0)(♗⬀⓪)
2, 51, 190, 82, (356) {total: 679} {consumed: 6} glider(d-12)(ph2)(♗⬀⓪)
