3, 201, (167) {total: 368} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
1, 58, 196, 219, (130) {total: 603} {consumed: 6} glider(d-26)(ph0)(♗⬃⓪)
1, 58, 198, 105, (113) {total: 474} {consumed: 5} glider(d-6)(ph0)(♗⬃⓪)
1, 58, 205, 39, (292) {total: 594} {consumed: 6} glider(d-16)(ph0)(♗⬀⓪)
1, 58, 201, 255, (440) {total: 954} {consumed: 9} glider(d-26)(ph2)(♗⬀⓪)
1, 58, 196, 62, (38) {total: 354} {consumed: 4} glider(d-26)(ph0)(♗⬃⓪)
1, 58, 208, 186, (142) {total: 594} {consumed: 6} glider(d-21)(ph0)(♝⬃⓪)
1, 58, 208, 247, (486) {total: 999} {consumed: 9} glider(d-10)(ph0)(♗⬀⓪)
1, 58, 219, 242, (145) {total: 664} {consumed: 7} glider(d-11)(ph1)(♝⬀①)
1, 58, 250, 138, (378) {total: 824} {consumed: 8} glider(d-45)(ph1)(♝⬃①)
1, 58, 256, 201, (439) {total: 954} {consumed: 9} glider(d-52)(ph2)(♗⬀⓪)
1, 58, 201, 56, (279) {total: 594} {consumed: 6} glider(d-26)(ph2)(♗⬀⓪)
1, 59, 255, 201, (167) {total: 682} {consumed: 7} glider(d-22)(ph2)(♗⬀⓪)
1, 62, 139, 151, (348) {total: 700} {consumed: 7} glider(d-28)(ph1)(♗⬃①)
1, 62, 156, 70, (45) {total: 333} {consumed: 4} glider(d4)(ph2)(♗⬃⓪)
1, 62, 156, 75, (40) {total: 333} {consumed: 4} glider(d0)(ph1)(♗⬃①)
1, 62, 252, 220, (209) {total: 743} {consumed: 7} glider(d-14)(ph1)(♗⬃①)
1, 64, 92, 134, (184) {total: 474} {consumed: 5} glider(d-26)(ph1)(♗⬃①)
1, 64, 92, 207, (351) {total: 714} {consumed: 7} glider(d-19)(ph3)(♝⬃①)
1, 66, 105, 233, (190) {total: 594} {consumed: 6} glider(d-17)(ph3)(♝⬀①)
1, 66, 104, 129, (161) {total: 460} {consumed: 5} glider(d-13)(ph2)(♝⬃⓪)
1, 66, 102, 118, (308) {total: 594} {consumed: 6} glider(d-19)(ph2)(♝⬀⓪)
1, 66, 95, 48, (81) {total: 290} {consumed: 3} glider(d-14)(ph2)(♗⬃⓪)
1, 66, 102, 58, (128) {total: 354} {consumed: 4} glider(d-19)(ph2)(♝⬀⓪)
