sc35/67b3p46

NE black even
7, 44, 69, 69, (163) {total: 345} {consumed: 7} glider(d6)(ph2)(♗⬀⓪)
2, 79, 83, 79, (106) {total: 347} {consumed: 7} glider(d-8)(ph2)(♗⬀⓪)
5, 65, 95, 95, (93) {total: 348} {consumed: 5} glider(d22)(ph2)(♗⬀⓪)
2, 56, 87, 55, (156) {total: 354} {consumed: 8} glider(d14)(ph2)(♗⬀⓪)
5, 124, 36, 128, (67) {total: 355} {consumed: 7} glider(d0)(ph0)(♗⬀⓪)
2, 42, 95, 111, (108) {total: 356} {consumed: 7} glider(d-2)(ph2)(♗⬀⓪)
6, 91, 74, 64, (130) {total: 359} {consumed: 7} glider(d24)(ph0)(♗⬀⓪)
5, 111, 102, 80, (67) {total: 360} {consumed: 7} glider(d-4)(ph0)(♗⬀⓪)
6, 50, 91, 111, (108) {total: 360} {consumed: 7} glider(d0)(ph2)(♗⬀⓪)
5, 101, 35, 61, (168) {total: 365} {consumed: 8} glider(d2)(ph0)(♗⬀⓪)
5, 101, 72, 114, (91) {total: 378} {consumed: 6} glider(d34)(ph2)(♗⬀⓪)
2, 73, 119, 121, (67) {total: 380} {consumed: 8} glider(d-6)(ph2)(♗⬀⓪)
2, 104, 37, 123, (121) {total: 385} {consumed: 9} glider(d-8)(ph2)(♗⬀⓪)
3, 35, 77, 47, (227) {total: 386} {consumed: 10} glider(d-28)(ph0)(♗⬀⓪)
5, 109, 65, 86, (127) {total: 387} {consumed: 8} glider(d0)(ph0)(♗⬀⓪)
6, 58, 112, 128, (91) {total: 389} {consumed: 9} glider(d18)(ph0)(♗⬀⓪)
5, 88, 118, 122, (67) {total: 395} {consumed: 7} glider(d10)(ph0)(♗⬀⓪)
1, 42, 54, 48, (251) {total: 395} {consumed: 8} glider(d6)(ph2)(♗⬀⓪)
6, 63, 65, 95, (179) {total: 402} {consumed: 9} glider(d2)(ph2)(♗⬀⓪)
5, 96, 118, 35, (156) {total: 405} {consumed: 9} glider(d16)(ph0)(♗⬀⓪)
5, 97, 55, 87, (167) {total: 406} {consumed: 8} glider(d16)(ph0)(♗⬀⓪)
5, 111, 123, 51, (124) {total: 409} {consumed: 9} glider(d-8)(ph0)(♗⬀⓪)
5, 128, 36, 91, (156) {total: 411} {consumed: 10} glider(d6)(ph2)(♗⬀⓪)
5, 87, 56, 88, (188) {total: 419} {consumed: 8} glider(d0)(ph2)(♗⬀⓪)
6, 75, 35, 116, (195) {total: 421} {consumed: 8} glider(d-6)(ph0)(♗⬀⓪)
2, 102, 112, 61, (148) {total: 423} {consumed: 9} glider(d12)(ph0)(♗⬀⓪)
5, 67, 125, 44, (198) {total: 434} {consumed: 8} glider(d16)(ph2)(♗⬀⓪)
2, 76, 127, 69, (166) {total: 438} {consumed: 9} glider(d-2)(ph0)(♗⬀⓪)
6, 66, 76, 86, (213) {total: 441} {consumed: 10} glider(d10)(ph2)(♗⬀⓪)
5, 101, 72, 101, (168) {total: 442} {consumed: 8} glider(d34)(ph2)(♗⬀⓪)
2, 112, 93, 105, (134) {total: 444} {consumed: 9} glider(d6)(ph0)(♗⬀⓪)

NE black odd
3, 37, 55, (67) {total: 159} {consumed: 6} glider(d-24)(ph3)(♗⬀①)
6, 41, 42, 35, (67) {total: 185} {consumed: 3} glider(d-10)(ph3)(♗⬀①)
