sc67b6p120

NE black even
7, 169, (367) {total: 536} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
1, 61, 185, 169, (367) {total: 782} {consumed: 7} glider(d0)(ph2)(♗⬀⓪)
1, 61, 193, 169, (367) {total: 790} {consumed: 7} glider(d2)(ph2)(♗⬀⓪)
1, 61, 209, 169, (367) {total: 806} {consumed: 7} glider(d6)(ph2)(♗⬀⓪)
1, 61, 217, 169, (367) {total: 814} {consumed: 7} glider(d8)(ph2)(♗⬀⓪)
1, 61, 225, 169, (367) {total: 822} {consumed: 7} glider(d10)(ph2)(♗⬀⓪)
1, 61, 233, 169, (367) {total: 830} {consumed: 7} glider(d12)(ph2)(♗⬀⓪)
1, 61, 241, 169, (367) {total: 838} {consumed: 7} glider(d14)(ph2)(♗⬀⓪)
1, 61, 249, 169, (367) {total: 846} {consumed: 7} glider(d16)(ph2)(♗⬀⓪)
1, 61, 100, 142, (247) {total: 550} {consumed: 5} glider(d2)(ph2)(♗⬀⓪)
1, 64, 92, 114, (67) {total: 337} {consumed: 4} glider(d-20)(ph0)(♗⬀⓪)
1, 64, 92, 117, (311) {total: 584} {consumed: 6} glider(d-22)(ph2)(♗⬀⓪)
1, 64, 92, 36, (67) {total: 259} {consumed: 3} glider(d-20)(ph2)(♗⬀⓪)
1, 64, 92, 38, (67) {total: 261} {consumed: 3} glider(d-20)(ph0)(♗⬀⓪)
1, 66, 252, 169, (367) {total: 854} {consumed: 8} glider(d-12)(ph2)(♗⬀⓪)
1, 69, 41, 169, (367) {total: 646} {consumed: 7} glider(d-34)(ph2)(♗⬀⓪)
1, 69, 57, 169, (367) {total: 662} {consumed: 7} glider(d-30)(ph2)(♗⬀⓪)
1, 69, 49, 169, (367) {total: 654} {consumed: 7} glider(d-32)(ph2)(♗⬀⓪)
1, 69, 65, 169, (367) {total: 670} {consumed: 7} glider(d-28)(ph2)(♗⬀⓪)
1, 69, 73, 169, (367) {total: 678} {consumed: 7} glider(d-26)(ph2)(♗⬀⓪)
1, 69, 81, 169, (367) {total: 686} {consumed: 7} glider(d-24)(ph2)(♗⬀⓪)
1, 69, 249, 169, (367) {total: 854} {consumed: 7} glider(d18)(ph2)(♗⬀⓪)
1, 72, 92, 117, (67) {total: 348} {consumed: 4} glider(d-20)(ph2)(♗⬀⓪)
1, 77, 249, 169, (367) {total: 862} {consumed: 7} glider(d20)(ph2)(♗⬀⓪)
