'glider(d11)(ph3)(♝⬃①)' (20, 97, 153) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 154) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 155) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 156) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 157) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 158) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 159) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 160) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 161) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 162) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 163) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 164) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 165) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 166) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 167) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 168) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 169) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 170) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 171) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 172) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 173) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 174) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 175) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 176) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 177) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 178) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 179) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 180) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 181) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 182) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 183) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 184) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 185) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 186) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 187) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 188) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 189) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 190) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 191) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 192) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 193) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 194) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 195) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
